Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,May,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
 BAZADAISE X , Non Dairy , F ,89,116,99,111,110,143,189,276,277,287,304,251,272,123,133,113,125,120,71,91,83,73,67,48,74,64,45,"1,559","1,676",519
,, M ,81,107,92,106,104,166,188,260,268,303,299,232,243,156,115,149,143,110,79,87,87,70,72,56,70,63,56,"1,601","1,635",526
 BEEF SHORTHORN , Non Dairy , F ,81,88,78,152,163,196,529,489,653,599,716,370,444,189,224,148,152,104,146,109,104,75,78,46,67,30,52,"2,432","2,723",927
,, M ,94,90,87,153,147,191,517,540,657,629,675,372,496,203,278,120,179,109,135,119,115,68,65,53,58,44,61,"2,481","2,839",935
 BEEF SHORTHORN X , Non Dairy , F ,124,85,167,224,141,320,667,626,812,837,917,570,779,335,372,237,266,216,238,139,174,162,178,119,170,107,111,"3,737","4,057","1,299"
,, M ,103,93,186,184,155,364,635,609,873,767,851,625,820,374,361,238,315,201,233,168,223,148,205,99,162,147,92,"3,689","4,119","1,423"
 BEEFALO , Non Dairy , F ,4,0,0,0,0,0,0,4,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,10,4,1
,, M ,2,0,0,1,0,0,1,3,0,0,1,2,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,11,5,0
 BELGIAN BLUE X , Non Dairy , F ,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
,, M ,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
 BELTED DUTCH , Dairy , M ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
 BELTED DUTCH CROSS , Dairy , F ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
,, M ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1
 BELTED GALLOWAY , Non Dairy , F ,58,66,58,58,93,76,133,159,172,206,211,238,229,177,148,106,134,89,89,152,110,96,96,53,86,52,72,"1,418","1,493",306
,, M ,65,79,71,56,85,73,134,156,168,185,195,203,236,148,159,95,152,75,113,145,125,103,120,57,71,57,58,"1,323","1,549",312
 BELTED GALLOWAY X , Non Dairy , F ,27,17,21,29,16,36,41,44,47,79,69,51,64,37,41,29,50,21,59,30,29,27,28,19,17,19,15,409,449,104
,, M ,21,18,24,21,22,46,51,58,58,85,78,70,85,47,44,32,33,32,49,32,25,30,32,23,21,14,18,458,483,128
 BELTED WELSH BLACK , Non Dairy , F ,0,0,0,1,3,10,3,3,8,4,6,5,2,1,7,1,3,2,0,2,3,1,2,2,2,0,1,22,32,18
,, M ,0,0,1,1,4,3,6,3,3,2,8,4,1,4,6,1,2,3,3,1,2,5,1,3,1,0,0,30,31,7
 BELTED WELSH BLACK X , Non Dairy , F ,0,2,1,0,1,5,0,3,1,3,0,0,7,1,1,1,0,0,0,0,0,0,1,0,1,0,0,5,16,7
,, M ,1,0,0,0,0,0,1,1,2,0,3,2,4,1,3,0,0,0,0,0,1,0,0,1,2,0,1,6,15,2
 BISON , Non Dairy , F ,3,1,0,0,0,0,0,0,1,5,8,17,13,9,10,7,2,0,2,1,0,1,0,0,0,0,10,43,46,1
,, M ,4,2,1,0,0,0,0,0,0,11,6,17,19,8,8,5,0,1,0,4,0,0,1,0,0,0,9,50,45,1
 BLONDE D'AQUITAINE , Non Dairy , F ,151,168,143,173,193,153,365,393,370,565,502,490,463,320,288,208,178,160,155,164,171,147,158,142,129,140,112,"3,025","2,910",666
,, M ,157,156,134,169,172,167,316,397,376,502,500,490,471,336,296,196,186,165,149,169,185,145,142,138,99,112,104,"2,895","2,857",677
 BLONDE D'AQUITAINE X , Non Dairy , F ,"1,191","1,106","1,043","1,586","1,449","1,774","4,171","4,013","3,797","4,963","4,988","3,861","3,829","2,566","2,294","1,733","1,623","1,272","1,243","1,370","1,167","1,139","1,109",941,"1,019",903,885,"25,696","24,725","6,614"
